label, R [Ohm], intercept(V-I), R^2,
1 [kHz] 100kOhm, 70922.7148630908 \pm 74.27155169095971, 7.454635672861239e-05 \pm 0.00012770625569712862, 0.9999583288889579,
2 [kHz] 100kOhm, 70898.34637125935 \pm 66.25863477483172, 0.00013604334864211593 \pm 0.00011391714371156999, 0.999966811720687,
3 [kHz] 100kOhm, 70979.46075461736 \pm 68.13273264894787, -9.090274073002435e-06 \pm 0.00011712670948026478, 0.9999649883230208,
4 [kHz] 100kOhm, 71002.59439347687 \pm 103.16381515079696, 0.0002609781539663518 \pm 0.00017694583438950296, 0.9999197856630506,
5 [kHz] 100kOhm, 71006.4259375522 \pm 109.86092434358152, 0.0003145796115731986 \pm 0.00018834948061088278, 0.9999090434413876,
6 [kHz] 100kOhm, 71164.61616866916 \pm 97.97122372036716, 0.00020373073114211457 \pm 0.00016772692027907204, 0.9999279851454702,
7 [kHz] 100kOhm, 71127.28517837395 \pm 129.65907326975568, 0.0003200378588982096 \pm 0.00022190488638636275, 0.9998737415119888,
8 [kHz] 100kOhm, 66404.65260887165 \pm 160.24385900903508, 0.0005825809255015068 \pm 0.00029319274478346364, 0.9997787656064069,
9 [kHz] 100kOhm, 64931.305498363814 \pm 149.41352682851783, 0.0007173964510607845 \pm 0.00027930783512946695, 0.9997988276982301,
10 [kHz] 100kOhm, 71819.90384884282 \pm 184.9883482207377, 0.000724564614424728 \pm 0.00031262333697883003, 0.9997479584073296,
11 [kHz] 100kOhm, 78299.8632145405 \pm 214.62766098181396, 0.0007491841149327774 \pm 0.0003326347317424169, 0.999714563671049,
12 [kHz] 100kOhm, 75551.58924861554 \pm 212.3365682903019, 0.0009277382310172459 \pm 0.0003406129951693936, 0.9996999343231745,
13 [kHz] 100kOhm, 69652.95756829985 \pm 193.2500772240081, 0.0009723672434745684 \pm 0.0003361396931347566, 0.9997075727924675,
14 [kHz] 100kOhm, 68599.69398200924 \pm 217.6553297396552, 0.001002024495588844 \pm 0.0003843161629926523, 0.9996176056094793,
15 [kHz] 100kOhm, 73132.50182898015 \pm 243.704650478014, 0.0007745317393540175 \pm 0.00040430589868167876, 0.9995781981384638,
16 [kHz] 100kOhm, 68498.03432549772 \pm 240.54252368666087, 0.0009939860246328967 \pm 0.0004253795183817415, 0.9995316097211068,
17 [kHz] 100kOhm, 66724.37904881829 \pm 252.75232242168735, 0.0010985056711004632 \pm 0.00045850072242599867, 0.9994550351916802,
18 [kHz] 100kOhm, 67490.98160892805 \pm 272.1735248382413, 0.0012336350962686175 \pm 0.0004876401332035332, 0.9993823883780931,
19 [kHz] 100kOhm, 70911.88941716065 \pm 268.81750703870745, 0.0011727072629797647 \pm 0.00045859970901752407, 0.999454212143602,
20 [kHz] 100kOhm, 75460.76394362329 \pm 314.51469147167273, 0.0013555013272683338 \pm 0.0005035380677940221, 0.9993403147918576,
1 [kHz] 100MOhm, 95514230.93572773 \pm 299791.2363387002, 7.795145649827813e-05 \pm 0.00038273472931800174, 0.9996257845908184,
2 [kHz] 100MOhm, 139736054.35123298 \pm 1084646.1645536877, 0.0019267205212173477 \pm 0.0009336931425082533, 0.997715719287646,
3 [kHz] 100MOhm, 183492947.77449372 \pm 2032928.362068765, -0.001088146703856388 \pm 0.0013617401440210674, 0.995357327933004,
4 [kHz] 100MOhm, 230652812.92686972 \pm 2248504.615024351, -0.002786701110565252 \pm 0.001212982409711182, 0.9964017756280467,
5 [kHz] 100MOhm, 262147221.3794975 \pm 3551165.162258906, 0.0003013031955580933 \pm 0.0016479833280391735, 0.9930750545478454,
6 [kHz] 100MOhm, 289348048.3281274 \pm 5067828.790677897, -0.00045364987864112555 \pm 0.0021412925980905037, 0.9884773795182141,
7 [kHz] 100MOhm, 311020345.72293556 \pm 7137966.837809198, -0.0019820935318026964 \pm 0.00283434077973313, 0.9803777834823083,
8 [kHz] 100MOhm, 304989852.1223212 \pm 6022652.725624302, 0.0006874124429179576 \pm 0.002393513870577046, 0.9853984190541704,
9 [kHz] 100MOhm, 318490223.4326154 \pm 6721864.872659328, 0.0018363929682250618 \pm 0.0025362165066010467, 0.9833550867043266,
10 [kHz] 100MOhm, 374775756.6348522 \pm 8906250.679228898, 0.0032386198933488366 \pm 0.0028250138770977043, 0.9789908267389402,
11 [kHz] 100MOhm, 418054071.26046634 \pm 12557176.511550885, 0.0037446082704090068 \pm 0.0035522735478005804, 0.9668515984943808,
12 [kHz] 100MOhm, 422330062.72234666 \pm 11040507.948055374, 0.002709148679459577 \pm 0.0031182415551705284, 0.9746881881151818,
