Xpositon	Ypositon	Counts
0.200000	-0.200000	3810.000000000
0.189744	-0.200000	3660.000000000
0.179487	-0.200000	3540.000000000
0.169231	-0.200000	3630.000000000
0.158974	-0.200000	3200.000000000
0.148718	-0.200000	3800.000000000
0.138462	-0.200000	3450.000000000
0.128205	-0.200000	3300.000000000
0.117949	-0.200000	3350.000000000
0.107692	-0.200000	2900.000000000
0.097436	-0.200000	3020.000000000
0.087179	-0.200000	3270.000000000
0.076923	-0.200000	2640.000000000
0.066667	-0.200000	2520.000000000
0.056410	-0.200000	3460.000000000
0.046154	-0.200000	2900.000000000
0.035897	-0.200000	2850.000000000
0.025641	-0.200000	2700.000000000
0.015385	-0.200000	2670.000000000
0.005128	-0.200000	2580.000000000
-0.005128	-0.200000	2720.000000000
-0.015385	-0.200000	2980.000000000
-0.025641	-0.200000	2890.000000000
-0.035897	-0.200000	2360.000000000
-0.046154	-0.200000	2850.000000000
-0.056410	-0.200000	3120.000000000
-0.066667	-0.200000	2880.000000000
-0.076923	-0.200000	2670.000000000
-0.087179	-0.200000	2700.000000000
-0.097436	-0.200000	2840.000000000
-0.107692	-0.200000	2990.000000000
-0.117949	-0.200000	3240.000000000
-0.128205	-0.200000	3580.000000000
-0.138462	-0.200000	3890.000000000
-0.148718	-0.200000	3900.000000000
-0.158974	-0.200000	4230.000000000
-0.169231	-0.200000	4690.000000000
-0.179487	-0.200000	5240.000000000
-0.189744	-0.200000	5460.000000000
-0.200000	-0.200000	5280.000000000
0.200000	-0.189744	2650.000000000
0.189744	-0.189744	3050.000000000
0.179487	-0.189744	3020.000000000
0.169231	-0.189744	3290.000000000
0.158974	-0.189744	2890.000000000
0.148718	-0.189744	2700.000000000
0.138462	-0.189744	2290.000000000
0.128205	-0.189744	2630.000000000
0.117949	-0.189744	2900.000000000
0.107692	-0.189744	2590.000000000
0.097436	-0.189744	3270.000000000
0.087179	-0.189744	2670.000000000
0.076923	-0.189744	2710.000000000
0.066667	-0.189744	2530.000000000
0.056410	-0.189744	2740.000000000
0.046154	-0.189744	2810.000000000
0.035897	-0.189744	2310.000000000
0.025641	-0.189744	3110.000000000
0.015385	-0.189744	2850.000000000
0.005128	-0.189744	2830.000000000
-0.005128	-0.189744	2870.000000000
-0.015385	-0.189744	2480.000000000
-0.025641	-0.189744	3050.000000000
-0.035897	-0.189744	2620.000000000
-0.046154	-0.189744	2870.000000000
-0.056410	-0.189744	3340.000000000
-0.066667	-0.189744	3070.000000000
-0.076923	-0.189744	3470.000000000
-0.087179	-0.189744	3700.000000000
-0.097436	-0.189744	3950.000000000
-0.107692	-0.189744	4470.000000000
-0.117949	-0.189744	4370.000000000
-0.128205	-0.189744	4740.000000000
-0.138462	-0.189744	5790.000000000
-0.148718	-0.189744	6410.000000000
-0.158974	-0.189744	6610.000000000
-0.169231	-0.189744	7280.000000000
-0.179487	-0.189744	6880.000000000
-0.189744	-0.189744	7170.000000000
-0.200000	-0.189744	7030.000000000
0.200000	-0.179487	2940.000000000
0.189744	-0.179487	2770.000000000
0.179487	-0.179487	2540.000000000
0.169231	-0.179487	2890.000000000
0.158974	-0.179487	2720.000000000
0.148718	-0.179487	2520.000000000
0.138462	-0.179487	2470.000000000
0.128205	-0.179487	2470.000000000
0.117949	-0.179487	2540.000000000
0.107692	-0.179487	2160.000000000
0.097436	-0.179487	2470.000000000
0.087179	-0.179487	2570.000000000
0.076923	-0.179487	2610.000000000
0.066667	-0.179487	2990.000000000
0.056410	-0.179487	2790.000000000
0.046154	-0.179487	2850.000000000
0.035897	-0.179487	2910.000000000
0.025641	-0.179487	2640.000000000
0.015385	-0.179487	3530.000000000
0.005128	-0.179487	3020.000000000
-0.005128	-0.179487	2970.000000000
-0.015385	-0.179487	3380.000000000
-0.025641	-0.179487	3510.000000000
-0.035897	-0.179487	4140.000000000
-0.046154	-0.179487	3530.000000000
-0.056410	-0.179487	4150.000000000
-0.066667	-0.179487	4900.000000000
-0.076923	-0.179487	5320.000000000
-0.087179	-0.179487	5660.000000000
-0.097436	-0.179487	6820.000000000
-0.107692	-0.179487	6140.000000000
-0.117949	-0.179487	7030.000000000
-0.128205	-0.179487	7220.000000000
-0.138462	-0.179487	7410.000000000
-0.148718	-0.179487	8180.000000000
-0.158974	-0.179487	7840.000000000
-0.169231	-0.179487	8290.000000000
-0.179487	-0.179487	8240.000000000
-0.189744	-0.179487	8260.000000000
-0.200000	-0.179487	8190.000000000
0.200000	-0.169231	2210.000000000
0.189744	-0.169231	2000.000000000
0.179487	-0.169231	2210.000000000
0.169231	-0.169231	2860.000000000
0.158974	-0.169231	2790.000000000
0.148718	-0.169231	2610.000000000
0.138462	-0.169231	2200.000000000
0.128205	-0.169231	2210.000000000
0.117949	-0.169231	2700.000000000
0.107692	-0.169231	2790.000000000
0.097436	-0.169231	2790.000000000
0.087179	-0.169231	2860.000000000
0.076923	-0.169231	2730.000000000
0.066667	-0.169231	2880.000000000
0.056410	-0.169231	2910.000000000
0.046154	-0.169231	3500.000000000
0.035897	-0.169231	3020.000000000
0.025641	-0.169231	3800.000000000
0.015385	-0.169231	4020.000000000
0.005128	-0.169231	3790.000000000
-0.005128	-0.169231	4780.000000000
-0.015385	-0.169231	4490.000000000
-0.025641	-0.169231	6230.000000000
-0.035897	-0.169231	6140.000000000
-0.046154	-0.169231	5720.000000000
-0.056410	-0.169231	6580.000000000
-0.066667	-0.169231	8030.000000000
-0.076923	-0.169231	9120.000000000
-0.087179	-0.169231	8840.000000000
-0.097436	-0.169231	9280.000000000
-0.107692	-0.169231	9000.000000000
-0.117949	-0.169231	9880.000000000
-0.128205	-0.169231	9040.000000000
-0.138462	-0.169231	8660.000000000
-0.148718	-0.169231	8460.000000000
-0.158974	-0.169231	9100.000000000
-0.169231	-0.169231	8350.000000000
-0.179487	-0.169231	7740.000000000
